restart,energy_ha,exact_ha,delta_ha,shots,R_angstrom
1,-1.5214482857926355,-1.892156898237353,0.3707086124447174,8192,0.7
2,-1.4611458883040958,-1.892156898237353,0.43101100993325714,8192,0.7
3,-1.4352387220903882,-1.892156898237353,0.4569181761469647,8192,0.7
4,-1.463764847829066,-1.892156898237353,0.428392050408287,8192,0.7
5,-1.4545885246269774,-1.892156898237353,0.4375683736103755,8192,0.7
6,-1.4452129052803278,-1.892156898237353,0.44694399295702514,8192,0.7
7,-1.4794027149906588,-1.892156898237353,0.4127541832466941,8192,0.7
